"TOA5","WiFsCR350","CR350","2743","CR350-CELL215.Std.1.06","CPU:SapFlowWinnefeldBeech20250611.CRB","6441","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","StationName","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","SkippedSlowScan","WiFiUpdateReq","DataStorageSize","DataStorageFree","SerialFlashErrors","MemorySize","MemoryFree","CPUDriveFree","CommsMemFree","FullMemReset","MeasureTime","ProcessTime","MaxProcTime","LastSlowScan","SlowProcTime","MaxSlowProcTime","PortStatus(1)","PortStatus(2)","PortConfig(1)","PortConfig(2)","SW12Volts(1)","SW12Volts(2)","PakBusRoutes","CalGainSlow2500","CalGainMed2500","CalGainFast2500","CalGainSlow34","CalGainMed34","CalGainFast34","CalOffset"
"TS","RN","","","","","","","","","","","DegC","Volts","","","","","","","","","bytes","bytes","","bytes","bytes","bytes","","","usec","usec","usec","","usec","usec","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-17 16:06:08.785",36,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,23.22727,12.57995,3.252629,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195728 available.",0,300,149549141,185686491,"2025-06-17 16:06:00",331,15002547,0,0,"Input","none",0,0,"192,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-17 20:02:18.335",37,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,21.72722,12.56313,3.252629,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,148153691,185686491,"2025-06-17 20:02:00",278,15002547,0,0,"SDI-12","none",0,0,"196,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-17 22:14:18.857",38,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,20.55503,12.56762,3.252629,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195744 available.",0,300,148395401,185686491,"2025-06-17 22:14:00",278,15002547,0,0,"Input","none",0,0,"200,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-18 10:05:59.602",39,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,19.97805,12.53566,3.252629,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195744 available.",0,300,148498912,185686491,"2025-06-18 10:05:00",278,15002547,0,0,"Input","none",0,0,"202,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-18 12:02:17.077",40,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,21.80202,12.53062,3.252629,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,148227689,185686491,"2025-06-18 12:02:00",278,15002547,0,0,"SDI-12","none",-1,0,"203,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-18 14:02:16.222",41,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,23.40169,12.54239,3.252629,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,148207524,185686491,"2025-06-18 14:02:00",278,15002547,0,0,"SDI-12","none",0,0,"204,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-18 16:02:17.673",42,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,24.01916,12.53342,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,148780140,185686491,"2025-06-18 16:02:00",277,15002547,0,0,"SDI-12","none",0,0,"205,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-18 18:06:03.431",43,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,23.72555,12.54183,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195744 available.",0,300,147903819,185686491,"2025-06-18 18:06:00",278,15002547,0,0,"Input","none",0,0,"207,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-18 22:02:11.736",44,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,20.57067,12.5323,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,149035101,185686491,"2025-06-18 22:02:00",278,15002547,0,0,"SDI-12","none",0,0,"212,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-19 10:06:20.643",45,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,17.34737,12.50371,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195744 available.",0,300,148449012,185686491,"2025-06-19 10:06:00",277,15002547,0,0,"Input","none",0,0,"215,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
